filename,Transect Distance (m),Ice,Water
196.jpg,347,86.67407226,13.325927734375002
197.jpg,108,99.99584961,0.004150391
197.jpg,348,99.99584961,0.004150391
198.jpg,349,84.84570313,15.15429688
198.jpg,109,84.84570313,15.15429688
199.jpg,350,76.42260742,23.57739258
199.jpg,110,76.42260742,23.57739258
200.jpg,353,94.16503906,5.834960938
200.jpg,113,94.16503906,5.834960938
201.jpg,114,99.28808594,0.711914063
201.jpg,354,99.28808594,0.711914063
202.jpg,355,79.44360351,20.55639648
202.jpg,115,79.44360351,20.55639648
203.jpg,356,82.95092774,17.04907227
203.jpg,116,82.95092774,17.04907227
204.jpg,117,71.97290039,28.02709961
204.jpg,357,71.97290039,28.02709961
205.jpg,358,49.97265625,50.02734375
205.jpg,118,49.97265625,50.02734375
206.jpg,359,71.35351563,28.646484374999996
206.jpg,119,71.35351563,28.646484374999996
207.jpg,360,69.6394043,30.3605957
207.jpg,120,69.6394043,30.3605957
208.jpg,361,99.96435547,0.035644531
208.jpg,121,99.96435547,0.035644531
209.jpg,122,99.01391602,0.986083984
209.jpg,362,99.01391602,0.986083984
210.jpg,364,54.28100586,45.71899414
210.jpg,124,54.28100586,45.71899414
211.jpg,125,73.10791015,26.89208984
211.jpg,365,73.10791015,26.89208984
212.jpg,366,78.52880859,21.47119141
212.jpg,126,78.52880859,21.47119141
213.jpg,367,95.90087891,4.099121094
213.jpg,127,95.90087891,4.099121094
214.jpg,368,78.99316406,21.00683594
214.jpg,128,78.99316406,21.00683594
215.jpg,369,28.60449218,71.39550781
215.jpg,129,28.60449218,71.39550781
216.jpg,130,94.54101563,5.458984375
216.jpg,370,94.54101563,5.458984375
217.jpg,131,56.64868164,43.35131836
217.jpg,371,56.64868164,43.35131836
218.jpg,372,56.32324219,43.67675781
218.jpg,132,56.32324219,43.67675781
219.jpg,373,71.41552735,28.58447266
219.jpg,133,71.41552735,28.58447266
220.jpg,135,79.42285156,20.57714844
220.jpg,375,79.42285156,20.57714844
221.jpg,136,97.35375976,2.646240234
221.jpg,376,97.35375976,2.646240234
222.jpg,137,82.9230957,17.0769043
222.jpg,377,82.9230957,17.0769043
223.jpg,378,83.87817383,16.12182617
223.jpg,138,83.87817383,16.12182617
224.jpg,139,89.64111328,10.35888672
224.jpg,379,89.64111328,10.35888672
225.jpg,140,91.85229492,8.147705078
225.jpg,380,91.85229492,8.147705078
226.jpg,381,82.91015625,17.08984375
226.jpg,141,82.91015625,17.08984375
227.jpg,382,90.73071289,9.269287109
227.jpg,142,90.73071289,9.269287109
228.jpg,383,93.50170899,6.498291016
228.jpg,143,93.50170899,6.498291016
229.jpg,384,81.73217773,18.26782227
229.jpg,144,81.73217773,18.26782227
230.jpg,146,86.28417969,13.715820312499998
230.jpg,386,86.28417969,13.715820312499998
231.jpg,387,87.73779297,12.26220703
231.jpg,147,87.73779297,12.26220703
232.jpg,388,85.77954101,14.22045898
232.jpg,148,85.77954101,14.22045898
233.jpg,389,84.83129883,15.168701171874998
233.jpg,149,84.83129883,15.168701171874998
234.jpg,390,49.40527344,50.59472656
234.jpg,150,49.40527344,50.59472656
235.jpg,391,82.25073242,17.74926758
235.jpg,151,82.25073242,17.74926758
236.jpg,152,45.89453125,54.10546875
236.jpg,392,45.89453125,54.10546875
237.jpg,153,99.31835938,0.681640625
237.jpg,393,99.31835938,0.681640625
238.jpg,394,67.16650391,32.83349609
238.jpg,154,67.16650391,32.83349609
239.jpg,155,80.77734375,19.22265625
239.jpg,395,80.77734375,19.22265625
240.jpg,157,76.01098632,23.98901367
240.jpg,397,76.01098632,23.98901367
